suburb,births,birth_rate
Loddon - Elmore,103,1.95
Bannockburn,106,2.20
Golden Plains - South,92,2.18
Winchelsea,73,2.11
Barwon - West,271,2.17
Belmont,207,1.66
Geelong,127,1.42
Geelong West - Hamlyn Heights,335,1.71
Highton,248,1.56
Lara,289,1.85
Leopold,150,1.70
Newcomb - Moolap,145,1.40
Newtown (Vic.),98,1.53
North Geelong - Bell Park,175,1.62
Charlemont,262,1.98
Corio - Lovely Banks,226,1.65
Grovedale - Mount Duneed,343,1.72
Norlane,126,1.72
Geelong,"2,731",1.66
Clifton Springs,172,1.92
Lorne - Anglesea,38,1.59
Portarlington,64,1.69
Point Lonsdale - Queenscliff,37,2.14
Torquay,295,1.74
Barwon Heads - Armstrong Creek,195,1.83
Ocean Grove,200,1.76
Surf Coast - Bellarine Peninsula,"1,001",1.81
Alexandra,44,1.54
Euroa,45,1.74
Kilmore - Broadford,191,2.00
Mansfield (Vic.),74,1.38
Nagambie,28,2.07
Seymour,53,1.36
Seymour Surrounds,37,1.73
Upper Yarra Valley,3,np
Yea,34,2.01
Upper Goulburn Valley,509,1.73
Benalla,89,1.80
Benalla Surrounds,29,2.00
Rutherglen,58,2.18
Wangaratta,189,1.77
Wangaratta Surrounds,100,2.04
Wangaratta - Benalla,465,1.87
Beechworth,37,1.49
Bright - Mount Beauty,60,1.30
Chiltern - Indigo Valley,33,2.11
Myrtleford,47,2.03
Towong,49,2.02
West Wodonga,159,1.88
Yackandandah,54,2.18
Baranduda - Leneva,196,1.87
Wodonga,179,1.81
Wodonga - Alpine,814,1.83
Drouin,295,2.05
Mount Baw Baw Region,67,2.00
Trafalgar (Vic.),85,1.91
Warragul,279,1.79
Baw Baw,726,1.91
Alps - East,0,np
Bairnsdale,171,1.95
Bruthen - Omeo,89,1.99
Lake King,0,np
Lakes Entrance,81,1.87
Orbost,35,1.50
Paynesville,37,1.65
Gippsland - East,413,1.86
Foster,84,2.11
French Island,0,np
Korumburra,100,1.91
Leongatha,112,1.87
Phillip Island,84,1.56
Wilsons Promontory,0,np
Wonthaggi - Inverloch,245,1.80
Gippsland - South West,625,1.81
Churchill,131,1.94
Moe - Newborough,203,1.78
Morwell,161,1.92
Yallourn North - Glengarry,51,1.92
Traralgon - East,161,1.82
Traralgon - West,192,1.69
Latrobe Valley,899,1.82
Alps - West,0,np
Longford - Loch Sport,20,1.52
Maffra,178,2.07
Rosedale,39,1.53
Sale,200,1.91
Yarram,37,2.00
Wellington,474,1.90
Ararat,87,1.67
Ararat Surrounds,26,2.34
Horsham,211,1.80
Horsham Surrounds,37,2.34
Nhill Region,74,2.24
St Arnaud,41,2.51
Stawell,64,1.63
West Wimmera,23,2.43
Yarriambiack,76,2.44
Grampians,639,1.95
Irymple,81,1.90
Merbein,57,2.15
Mildura Surrounds,32,1.82
Red Cliffs,71,1.96
Mildura - North,204,1.71
Mildura - South,217,1.80
Mildura,662,1.81
Buloke,67,2.57
Gannawarra,63,2.22
Kerang,34,2.13
Robinvale,51,1.92
Swan Hill,144,1.97
Swan Hill Surrounds,71,2.11
Murray River - Swan Hill,430,2.08
Echuca,174,1.94
Kyabram,115,2.04
Lockington - Gunbower,41,1.99
Rochester,31,1.80
Rushworth,41,2.16
Campaspe,402,1.98
Cobram,59,2.04
Moira,28,2.00
Numurkah,149,1.86
Yarrawonga,82,2.15
Moira,318,1.99
Mooroopna,83,1.68
Shepparton - North,249,1.82
Shepparton Surrounds - East,34,1.63
Shepparton Surrounds - West,118,2.17
Kialla,125,2.03
Shepparton - South East,194,1.84
Shepparton,803,1.87
Glenelg (Vic.),78,2.08
Hamilton (Vic.),115,2.15
Portland,105,1.76
Southern Grampians,44,1.83
Glenelg - Southern Grampians,342,1.95
Camperdown,34,2.00
Colac,144,1.76
Colac Surrounds,50,1.98
Corangamite - North,46,1.69
Corangamite - South,72,2.15
Otway,34,1.57
Colac - Corangamite,380,1.86
Moyne - East,82,2.20
Moyne - West,105,2.04
Warrnambool - North,238,1.67
Warrnambool - South,135,1.57
Warrnambool,560,1.76
