suburb,births,birth_rate,,
Preston - West,131,1.20,,
Red Cliffs,71,1.96,,
Research,51,1.74,,
Reservoir,211,1.42,,
Reservoir - North West,109,1.81,,
Reservoir - South East,170,1.41,,
Reservoir - South West,186,1.50,,
Richmond,133,0.79,,
Cremorne,179,1.00,,
Riddells Creek,56,1.93,,
Ringwood,215,1.36,,
Ringwood East,234,1.59,,
Ringwood North,93,1.59,,
Robinvale,51,1.92,,
Rochester,31,1.80,,
Rockbank,592,2.08,,
Romsey,152,2.16,,
Rosebud ,199,1.74,,
Rosedale,39,1.53,,
Rowville,137,1.25,,
Rowville - North,55,1.47,,
Rowville - South,95,1.60,,
Roxburgh Park,161,1.58,,
Somerton,126,1.75,,
Royal Botanic Gardens Victoria,0,np,,
Rushworth,41,2.16,,
Rutherglen,58,2.18,,
Sale,200,1.91,,
Black Rock,109,1.42,,
Seabrook,49,1.31,,
Seaford,250,1.91,,
Sebastopol,139,1.53,,
Seddon,139,1.45,,
Seymour,53,1.36,,
Seymour Surrounds,37,1.73,,
Shepparton,803,1.87,,
Shepparton - North,249,1.82,,
Shepparton - South East,194,1.84,,
Shepparton Surrounds - East,34,1.63,,
Shepparton Surrounds - West,118,2.17,,
Skye - Sandhurst,153,1.82,,
Smythes Creek,30,1.77,,
Somerville,230,1.90,,
South Melbourne,114,1.03,,
South Morang,151,1.59,,
South Morang - South,132,1.51,,
South Yarra - North,66,0.55,,
South Yarra,87,0.79,,
South Yarra - West,61,1.23,,
Southbank,152,0.62,,
Southbank (West) - South Wharf,37,0.57,,
Southern Grampians,44,1.83,,
Springvale,244,1.37,,
Springvale South,96,1.28,,
St Albans,206,1.45,,
St Albans Park,178,1.40,,
St Arnaud,41,2.51,,
St Kilda,123,0.80,,
St Kilda West,115,0.75,,
St Kilda East,162,1.01,,
Stawell,64,1.63,,
Stonnington - East,336,1.20,,
Stonnington - West,527,0.84,,
Strathfieldsaye,126,2.01,,
Strathmore,64,1.35,,
Sunbury,649,1.74,,
Sunbury - South,180,1.56,,
Sunbury - West,151,1.70,,
Sunshine,107,1.46,,
Sunshine North,145,1.55,,
Sunshine West,231,1.63,,
Bellarine,"1,001",1.81,,
Mont Albert,100,1.30,,
Canterbury,92,1.27,,
Swan Hill,144,1.97,,
Swan Hill Surrounds,71,2.11,,
Sydenham,131,1.52,,
Tarneit,508,1.84,,
Tarneit - North,262,2.11,,
Tarneit - South,175,1.91,,
Tarneit (West) - Mount Cottrell,355,2.30,,
Taylors Hill,183,1.55,,
Taylors Lakes,112,1.35,,
Templestowe,131,1.31,,
Templestowe Lower,109,1.48,,
The Basin,48,1.70,,
Thomastown,250,1.62,,
Thornbury,224,1.12,,
Toorak,95,1.04,,
Torquay,295,1.74,,
Towong,49,2.02,,
Trafalgar,85,1.91,,
Traralgon  East,161,1.82,,
Traralgon  West,192,1.69,,
Truganina  North,279,2.20,,
Truganina - South East,207,2.12,,
Truganina - South,363,2.21,,
Tullamarine,71,1.48,,
Broadmeadows,"3,357",1.87,,
Upper Goulburn Valley,509,1.73,,
Upper Yarra Valley,3,np,,
Upwey - Tecoma,113,1.80,,
Vermont,59,1.04,,
Vermont South,65,1.07,,
Viewbank,198,1.65,,
Wallan,429,2.12,,
Wandin - Seville,93,1.79,,
Wangaratta,189,1.77,,
Benalla,465,1.87,,
Wangaratta Surrounds,100,2.04,,
Wantirna,122,1.34,,
Wantirna South,135,1.28,,
Warragul,279,1.79,,
Warrandyte - Wonga Park,59,1.64,,
Warrnambool,560,1.76,,
Warrnambool - South ,238,1.67,,
Warrnambool - South,135,1.57,,
Watsonia,133,1.89,,
Diamond Creek,138,1.75,,
Wellington,474,1.90,,
Miners Rest,207,1.87,,
Werribee - East,262,1.70,,
Werribee South,245,1.64,,
Werribee ,521,2.02,,
West Footscray,177,1.33,,
West Melbourne - Industrial,0,np,,
West Melbourne - Residential,53,0.63,,
West Wimmera,23,2.43,,
West Wodonga,159,1.88,,
Wheelers Hill,105,1.07,,
White Hills,222,2.03,,
Whitehorse ,517,1.31,,
Whitehorse,853,1.06,,
Whittlesea,233,1.94,,
Whittlesea,"3,759",1.73,,
Williamstown,114,1.35,,
Wilsons Promontory,0,np,,
Winchelsea,73,2.11,,
Wodonga,179,1.81,,
Alpine,814,1.83,,
Wollert,617,2.06,,
Wonthaggi,245,1.80,,
Woodend,54,1.90,,
Wyndham,"5,378",1.85,,
Wyndham Vale,256,2.06,,
Wyndham Vale,176,1.66,,
Yackandandah,54,2.18,,
Yallourn North,51,1.92,,
Yarra,907,0.94,,
Yarra Ranges,"1,816",1.79,,
Yarra Valley,188,2.02,,
Yarram,37,2.00,,
Yarraville,192,1.37,,
Yarrawonga,82,2.15,,
Yarriambiack,76,2.44,,
Yea,34,2.01,,
,,,,
,,,,
,,,,
,,,,
,,,,
